loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/format_reward_func/mean,rewards/format_reward_func/std,rewards/reasoning_reward_func/mean,rewards/reasoning_reward_func/std,rewards/correctness_reward_func/mean,rewards/correctness_reward_func/std,reward,reward_std,frac_reward_zero_std,completion_length,kl,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0016,0.7505922913551331,0.0,20567.0,264.46875,74.0,414.0,0.0,264.46875,74.0,414.0,0.019999999552965164,0.0,0.062453124672174454,0.046285390853881836,0.28125,0.45680341124534607,0.3637031316757202,0.262729287147522,0.0,264.46875,1.6223074048757553,0.004,1,,,,,
0.0005,0.7930169105529785,2.0000000000000002e-07,36864.0,210.28125,64.0,552.0,0.0,210.28125,64.0,552.0,0.019999999552965164,0.0,0.07359062880277634,0.04871310666203499,0.0625,0.24593468010425568,0.1560906171798706,0.15328149497509003,0.0,210.28125,0.5203474462032318,0.008,2,,,,,
0.0005,0.5217397212982178,4.0000000000000003e-07,50827.0,182.34375,71.0,610.0,0.0,182.34375,71.0,610.0,0.019999999552965164,0.0,0.06857030838727951,0.04311026260256767,0.65625,0.4825586974620819,0.744820237159729,0.31016045808792114,0.0,182.34375,0.5252507403492928,0.012,3,,,,,
0.0004,0.6453920602798462,6.000000000000001e-07,66037.0,235.8125,108.0,409.0,0.0,235.8125,108.0,409.0,0.019999999552965164,0.0,0.0832781195640564,0.033389613032341,0.25,0.4399413466453552,0.35327813029289246,0.39970090985298157,0.0,235.8125,0.39311641454696655,0.016,4,,,,,
0.0005,0.5510218143463135,8.000000000000001e-07,81973.0,245.0,46.0,1024.0,0.03125,219.87095642089844,46.0,699.0,0.019375000149011612,0.0035355337895452976,0.051899999380111694,0.060009606182575226,0.28125,0.45680341124534607,0.352524995803833,0.369672954082489,0.0,245.0,0.4853576421737671,0.02,5,,,,,
0.0005,0.6904644966125488,1.0000000000000002e-06,97004.0,176.46875,65.0,444.0,0.0,176.46875,65.0,444.0,0.019999999552965164,0.0,0.08115000277757645,0.028820982202887535,0.3125,0.4709290862083435,0.4136499762535095,0.130149707198143,0.0,176.46875,0.5103532150387764,0.024,6,,,,,
0.0014,0.6447491645812988,1.2000000000000002e-06,110581.0,181.53125,108.0,590.0,0.0,181.53125,108.0,590.0,0.019375000149011612,0.0035355337895452976,0.08234062790870667,0.03892241790890694,0.46875,0.507007360458374,0.5704655647277832,0.2661900520324707,0.0,181.53125,1.4481986612081528,0.028,7,,,,,
0.0004,1.1392698287963867,1.4000000000000001e-06,125990.0,175.53125,66.0,424.0,0.0,175.53125,66.0,424.0,0.019999999552965164,0.0,0.07912187278270721,0.02099784091114998,0.78125,0.420013427734375,0.8803718686103821,0.3176272511482239,0.0,175.53125,0.39989273995161057,0.032,8,,,,,
0.0004,0.5400370359420776,1.6000000000000001e-06,139853.0,176.46875,84.0,369.0,0.0,176.46875,84.0,369.0,0.019999999552965164,0.0,0.0910765677690506,0.017164845019578934,0.375,0.49186936020851135,0.48607656359672546,0.4790494441986084,0.0,176.46875,0.3896907866001129,0.036,9,,,,,
0.0005,0.6753383278846741,1.8000000000000001e-06,155948.0,212.96875,60.0,638.0,0.0,212.96875,60.0,638.0,0.019999999552965164,0.0,0.06403593719005585,0.04555869847536087,0.21875,0.420013427734375,0.3027859330177307,0.33337780833244324,0.0,212.96875,0.5244657769799232,0.04,10,,,,,
